Marca temporal,Número de matrícula,¿Cuántos años cumplidos tienes?,¿Has realizado programas utilizando Python?,¿Has utilizado Google Colab?,¿Tienes cuenta de GitHub?
19/01/2026 18:32:18,178920,22,Si,No,Si
19/01/2026 18:32:23,182712,21,Si,No,Si
19/01/2026 18:32:25,180370,26,Si,Si,Si
19/01/2026 18:32:27,182570,21,Si,Si,Si
19/01/2026 18:32:28,177622,24,Si,No,Si
19/01/2026 18:32:29,175166,22,Si,Si,Si
19/01/2026 18:32:30,177573,22,Si,Si,Si
19/01/2026 18:32:35,178430,21,Si,Si,Si
19/01/2026 18:32:38,179169,23,Si,No,Si
19/01/2026 18:32:41,177263,22,Si,Si,Si
19/01/2026 18:32:48,179884,23,Si,No,Si
19/01/2026 18:32:48,183016,22,Si,No,Si
19/01/2026 18:32:50,179033,23,Si,Si,No
19/01/2026 18:32:54,178218,22,Si,No,Si
19/01/2026 18:32:55,178446,22,Si,Si,Si
19/01/2026 18:33:00,178166,22,Si,Si,No
19/01/2026 18:33:02,177406,22,Si,No,Si
19/01/2026 18:33:05,177192,22,Si,Si,Si
19/01/2026 18:33:08,182451,21,Si,No,Si
19/01/2026 18:33:08,171513,24,No,No,Si
19/01/2026 18:33:09,181619,21,Si,No,Si
19/01/2026 18:33:12,182298,23,Si,No,Si
19/01/2026 18:33:14,181419,24,No,No,Si
19/01/2026 18:33:32,177291,21,Si,Si,Si
19/01/2026 18:33:42,182085,22,Si,No,Si
19/01/2026 18:33:53,176453,22,Si,No,Si
19/01/2026 18:34:04,176263,24,Si,No,Si
19/01/2026 18:34:06,179997,21,Si,No,Si
19/01/2026 18:36:21,175842,23,Si,No,No
19/01/2026 20:19:21,179913,20,Si,No,Si
19/01/2026 20:19:48,177301,22,Si,Si,No
19/01/2026 20:20:06,183060,21,Si,No,Si
19/01/2026 20:20:08,177935,22,Si,Si,Si
19/01/2026 20:20:19,177700,20,Si,Si,Si
19/01/2026 20:20:26,178318,24,Si,Si,Si
19/01/2026 20:20:27,174653,24,Si,No,Si
19/01/2026 20:20:29,177139,21,Si,No,Si
19/01/2026 20:20:31,173479,25,Si,No,No
19/01/2026 20:20:39,175588,23,No,No,Si
19/01/2026 20:20:45,178774,23,Si,Si,Si
19/01/2026 20:20:45,175031,23,Si,No,No
19/01/2026 20:20:49,178396,21,Si,Si,Si
19/01/2026 20:20:49,172068,23,No,No,No
19/01/2026 20:20:50,174197,23,No,No,Si
19/01/2026 20:20:55,178584,22,Si,No,Si
19/01/2026 20:20:55,175329,24,Si,No,Si
19/01/2026 20:20:56,177685,22,Si,Si,Si
19/01/2026 20:20:57,178678,22,No,No,Si
19/01/2026 20:21:04,177143,22,Si,No,Si
19/01/2026 20:21:07,182318,26,Si,No,Si
19/01/2026 20:21:27,182377,20,Si,No,Si
19/01/2026 20:21:34,179419,22,Si,No,No
19/01/2026 20:21:35,181662,21,Si,No,Si
19/01/2026 20:21:38,181760,21,Si,No,Si
19/01/2026 20:22:06,177888,22,Si,No,Si
19/01/2026 20:22:15,176535,25,Si,No,Si
19/01/2026 20:22:29,179862,21,Si,No,Si
19/01/2026 20:22:32,178378,22,Si,No,Si
19/01/2026 20:22:50,177451,22,Si,No,Si
19/01/2026 20:23:15,179804,21,Si,No,Si

